Food,Class,Ingredients,Calories,Protein,Carbs,Fat,Healthy
Amaranth Energy Bar,vegan,"amaranth seeds, jaggery, seeds",176.3,4.9,22.1,7.2,Yes
Lauki Muthia (steamed),veg,"bottle gourd, besan, spices",144.8,5.6,18.0,3.4,Yes
Sooji & Spinach Balls (Baked),veg,"semolina, spinach, herbs",158.0,4.2,21.3,5.6,Yes
Vegetable Poha (low oil),veg,"flattened rice, veggies, turmeric",159.3,3.8,28.5,4.0,Yes
Egg White Bhurji Wrap,nonveg,"egg whites, wrap, onion",174.5,15.9,11.4,5.8,Yes
Millet Masala Idli,veg,"foxtail millet, curd, veggies",151.7,4.3,24.5,3.9,Yes
Carrot & Walnut Muffin (low sugar),veg,"carrot, walnuts, atta",182.0,5.3,20.8,8.4,Yes
Rajgira Chikki,veg,"amaranth, jaggery",166.8,3.9,19.6,6.3,Yes
Banana & Peanut Butter Toast,veg,"whole wheat bread, banana, peanut butter",199.6,6.8,26.5,8.2,Yes
Low-fat Paneer Toast,veg,"paneer, multigrain bread, herbs",178.1,12.7,16.2,7.3,Yes
Sprouted Kala Chana Chaat,vegan,"black chickpea sprouts, lemon, chili",148.5,10.3,18.1,2.6,Yes
Wheat Dhokla,veg,"whole wheat flour, curd, mustard",142.6,4.9,23.6,3.0,Yes
Jowar Puff Snack,vegan,"jowar puffs, spice mix",123.2,3.7,19.1,2.9,Yes
Bottle Gourd Paratha (low oil),veg,"bottle gourd, wheat flour",168.3,5.4,26.7,4.8,Yes
Rava Appe,veg,"semolina, curd, veggies",159.4,4.2,22.9,5.0,Yes
Ragi Nachni Chips (baked),vegan,"ragi, ajwain, salt",148.5,3.8,18.6,4.5,Yes
Tandoori Mushroom Bites,veg,"mushrooms, curd, spice mix",138.2,5.9,8.4,7.6,Yes
Sweet Potato Chaat,vegan,"boiled sweet potato, lemon, chaat masala",172.4,2.1,35.6,0.8,Yes
Green Gram Dosa,vegan,"green gram, ginger, chilies",156.7,9.4,22.8,3.1,Yes
Cucumber Chilla,vegan,"grated cucumber, besan, herbs",143.3,4.7,18.9,3.9,Yes
Pumpkin Thepla,veg,"pumpkin, whole wheat flour",168.2,4.3,26.1,5.1,Yes
Tofu Bhurji Toast,vegan,"tofu, multigrain bread, onion",178.9,12.5,19.6,6.3,Yes
Rice Flour Crackers (baked),vegan,"rice flour, sesame, chili",138.7,2.8,23.7,4.1,Yes
Spinach Oats Dhokla,veg,"oats, spinach, curd",152.4,5.6,20.2,4.7,Yes
Ragi Almond Ladoo,veg,"ragi, almond, jaggery",167.2,4.5,18.5,7.2,Yes
Zucchini Fritters (baked),veg,"zucchini, oats, herbs",146.1,3.7,20.3,4.4,Yes
Corn & Methi Tikki,veg,"sweet corn, fenugreek, potato",174.6,4.8,24.1,5.2,Yes
Protein-Rich Vegetable Roll,veg,"multigrain wrap, paneer, veggies",199.3,11.6,21.4,7.9,Yes
Chia & Peanut Energy Bar,vegan,"chia seeds, peanuts, dates",178.2,5.2,21.6,7.1,Yes
Besan Spinach Chilla,vegan,"gram flour, spinach, herbs",163.7,6.2,21.3,5.0,Yes
Jowar Vegetable Idli,veg,"jowar, curd, grated veggies",149.5,5.0,23.0,3.3,Yes
Sprouted Moth Beans Salad,vegan,"moth beans, onion, tomato",145.8,9.6,19.2,2.4,Yes
Avocado Multigrain Toast,vegan,"avocado, multigrain bread",192.7,4.1,17.5,11.2,Yes
Mixed Millet Laddoo,veg,"mixed millets, ghee, dry fruits",186.9,4.9,22.8,8.3,Yes
Lapsi (Broken Wheat Snack),veg,"broken wheat, jaggery, cardamom",173.4,3.6,28.2,5.0,Yes
Stuffed Bell Pepper (Air-fried),veg,"bell pepper, paneer, herbs",160.3,9.7,11.4,7.1,Yes
Lettuce Paneer Wrap,veg,"lettuce, grilled paneer, herbs",178.6,12.4,7.8,9.9,Yes
Masala Khichdi Balls (Baked),veg,"rice, moong dal, spices",162.0,5.6,23.4,4.2,Yes
Homemade Millet Chips (Air fried),vegan,"millet flour, masala",153.8,3.5,19.2,5.1,Yes
Ragi Dosa Roll with Coconut Chutney,veg,"ragi, curd, coconut, chilies",171.2,5.9,23.8,6.5,Yes
Egg White & Spinach Muffin,nonveg,"egg whites, spinach, onion",158.4,13.6,6.9,5.3,Yes
Cabbage & Mung Dal Pakora (Air Fried),veg,"cabbage, mung dal, spices",143.7,6.3,18.4,3.8,Yes
Flaxseed Ladoo,vegan,"flaxseed, jaggery, oats",161.5,4.1,20.5,6.9,Yes
Brown Rice & Sprouts Balls,veg,"brown rice, sprouts, spices",168.8,6.0,23.7,4.8,Yes
Tofu Tikka Skewers,vegan,"tofu, spices, lemon",172.2,14.1,5.2,8.5,Yes
Vegetable Ragi Pancake,veg,"ragi flour, curd, veggies",157.9,4.9,21.1,4.2,Yes
Beetroot Hummus with Khakhra,vegan,"beetroot, chickpeas, sesame",188.6,6.2,19.8,9.4,Yes
Rava Appe,veg,"semolina, curd, veggies",159.4,4.2,22.9,5.0,Yes
Samosa,veg,"maida, potato, peas, spices, oil",262.0,5.0,32.0,12.0,No
Onion Pakora,veg,"onion, gram flour, chili, oil",220.5,4.8,28.6,9.5,No
Mirchi Bajji,veg,"green chili, gram flour, spices",198.2,4.1,22.3,8.9,No
Aloo Tikki Chaat,veg,"potato, peas, spices, breadcrumbs",209.8,4.3,34.1,7.6,Yes
Paneer Pakora,veg,"paneer, gram flour, oil",246.3,9.1,18.5,13.2,No
Veg Cutlet,veg,"potato, carrot, peas, beans, breadcrumbs",189.7,5.3,25.8,6.1,Yes
Bread Pakora,veg,"bread, gram flour, potato, oil",270.4,6.2,32.5,11.4,No
Dhokla,veg,"gram flour, rice flour, curd, spices",160.3,6.4,20.1,6.2,Yes
Khaman,veg,"gram flour, lemon, sugar, spices",179.9,7.0,22.0,7.0,Yes
Khandvi,veg,"gram flour, yogurt, ginger, spices",150.5,7.2,18.2,5.1,Yes
Fafda,veg,"gram flour, ajwain, turmeric, oil",219.8,6.1,28.2,8.4,No
Thepla,veg,"wheat flour, methi leaves, spices",189.6,6.3,28.4,7.0,Yes
Handvo,veg,"rice, lentils, lauki, sesame, spices",229.7,8.5,32.0,7.1,Yes
Patra,veg,"colocasia leaves, gram flour, tamarind, jaggery",219.5,8.2,28.6,8.9,Yes
Khakhra,veg,"wheat flour, oil, spices",89.8,3.1,18.5,2.0,Yes
Methi Na Gota,veg,"gram flour, fenugreek leaves, spices",279.9,8.3,30.1,13.5,No
Sev Khamani,veg,"gram flour, sev, chutney, spices",210.4,7.4,28.1,8.3,No
Lilva Kachori,veg,"maida, green pigeon peas, spices",281.6,7.5,34.2,12.5,No
Surati Locho,veg,"gram flour, green chili, oil, lemon",250.1,9.3,30.4,9.1,Yes
Sev Usal,veg,"white peas, sev, onion, spices",329.8,11.1,44.9,12.2,Yes
Masala Khichu,veg,"rice flour, green chili, cumin",179.4,4.0,28.0,4.0,Yes
French Fries,veg,"potato, oil, salt",312.0,3.4,41.2,15.0,No
Veg Burger,veg,"bun, potato patty, lettuce, cheese",298.2,8.1,36.2,12.4,No
Paneer Sandwich,veg,"bread, paneer, capsicum, spices",244.3,9.0,28.5,9.5,Yes
Cheese Pizza,veg,"pizza base, cheese, tomato sauce, oregano",285.9,11.2,33.6,10.5,No
Veg Momos,veg,"maida, cabbage, carrot, onion, chili",142.7,4.8,20.2,4.0,Yes
Spring Rolls,veg,"maida, cabbage, carrot, noodles, oil",236.2,6.2,28.4,10.1,No
Masala Dosa,veg,"rice, urad dal, potato, onion, spices",220.5,6.4,35.2,6.2,Yes
Medu Vada,veg,"urad dal, onion, green chili, oil",183.2,6.5,22.5,7.0,No
Banana Chips,veg,"banana, coconut oil, salt",192.0,1.2,27.0,9.0,No
Pav Bhaji,veg,"pav bread, mixed veggies, butter",340.4,8.5,42.2,14.5,No
Sev Puri,veg,"puri, potato, onion, sev, chutneys",242.1,5.3,34.5,9.2,No
Pani Puri,veg,"puri, potato, chickpeas, tamarind water",220.5,4.5,30.2,8.5,Yes
Nachos,veg,"corn chips, cheese, salsa, jalapeno",312.4,7.8,42.5,13.6,No
Tacos,veg,"tortilla, beans, lettuce, salsa, cheese",279.9,9.4,34.8,10.7,Yes
Quesadilla,veg,"tortilla, cheese, veggies",289.5,10.0,32.5,11.5,No
Garlic Bread,veg,"bread, butter, garlic, herbs",240.7,6.0,29.8,9.5,No
Pasta Arrabbiata,veg,"pasta, tomato, chili, garlic, olive oil",268.2,8.4,41.0,7.2,Yes
Urad Dal Papad,veg,"Urad dal flour, black pepper, salt",100,6,12,1,Yes
Moong Dal Papad,veg,"Moong dal flour, spices, salt",95,6,11,1,Yes
Chana Dal Papad,veg,"Chana dal flour, chili, salt",105,6,13,1,Yes
Masala Papad,veg,"Urad papad, onion, tomato, chili, masala",150,5,18,4,No
Jeera Papad,veg,"Urad dal flour, cumin seeds, salt",100,6,12,1,Yes
Black Pepper Papad,veg,"Urad dal flour, black pepper, salt",110,6,13,1,Yes
Garlic Papad,veg,"Urad dal flour, garlic, chili, salt",115,6,12,2,Yes
Green Chili Papad,veg,"Urad dal flour, green chili, salt",120,6,13,2,Yes
Red Chili Papad,veg,"Urad dal flour, red chili powder, salt",120,6,14,2,Yes
Ajwain Papad,veg,"Urad dal flour, ajwain, salt",105,6,13,1,Yes
Sago Papad (Sabudana),veg,"Sabudana, salt, cumin",90,1,20,0,Yes
Rice Papad,veg,"Rice flour, chili, salt",95,2,21,0,Yes
Potato Papad,veg,"Potato, rice flour, salt",120,2,26,1,Yes
Sweet Potato Papad,veg,"Sweet potato, rice flour, chili, salt",130,2,28,1,Yes
Ragi Papad,veg,"Ragi flour, spices, salt",100,3,22,0.5,Yes
Jowar Papad,veg,"Jowar flour, chili, salt",95,3,21,0.5,Yes
Bajra Papad,veg,"Bajra flour, chili, salt",100,3,20,1,Yes
Multigrain Papad,veg,"Mix of lentils, spices, salt",110,6,14,1,Yes
Palak Papad,veg,"Urad dal flour, spinach, chili",115,6,14,2,Yes
Methi Papad,veg,"Urad dal flour, fenugreek leaves, chili",115,6,14,2,Yes
Onion Papad,veg,"Urad dal flour, onion flakes, chili",120,5,14,2,No
Tomato Papad,veg,"Urad dal flour, tomato powder, spices",115,5,15,2,No
Punjabi Papad,veg,"Urad dal flour, black pepper, hing, chili",120,6,15,2,Yes
South Indian Appalam,veg,"Urad dal flour, cumin, black pepper",110,6,14,1,Yes
Gujarati Chorafali Papad,veg,"Chana dal flour, urad flour, spices",130,7,16,2,Yes
Teekha Paani (Spicy),veg,"Green chili, mint, coriander, tamarind, masala",40,1,8,0,Yes
Meetha Paani (Sweet),veg,"Tamarind, jaggery, dates, spices",60,1,15,0,Yes
Lemon Mint Paani,veg,"Lemon juice, mint, black salt, chili",35,1,7,0,Yes
Jeera Paani,veg,"Cumin, black salt, lemon, chili",30,1,6,0,Yes
Garlic Paani,veg,"Garlic, chili, lemon, black salt",40,1,7,0,Yes
Hing Paani,veg,"Asafoetida, tamarind, chili, black salt",35,1,6,0,Yes
Fruit Flavored Paani,veg,"Pineapple juice, tamarind, mint",50,1,12,0,Yes
Paani Poori Water,veg,"Raw mango, chili, mint, spices",55,1,13,0,Yes
Boondi,veg,"Besan, chili, oil",55,10,19,9,No
Sev,veg,"Besan, spices, oil",56,11,19,10,No
Spaghetti,veg,"Durum wheat semolina, water",220,8,43,1,Yes
Penne,veg,"Durum wheat semolina, water",210,7,42,1,Yes
Macaroni,veg,"Durum wheat semolina, water",215,7,43,1,Yes
Fusilli,veg,"Durum wheat semolina, water",210,7,42,1,Yes
Farfalle (Bow-Tie Pasta),veg,"Durum wheat semolina, water",215,7,43,1,Yes
Linguine,veg,"Durum wheat semolina, water",220,8,44,1,Yes
Tagliatelle,veg,"Durum wheat semolina, egg",230,9,44,2,Yes
Fettuccine,veg,"Durum wheat semolina, egg",230,9,45,2,Yes
Lasagna Sheets,veg,"Durum wheat semolina, egg",220,8,43,2,Yes
Ravioli,veg,"Pasta dough, ricotta cheese filling",260,10,38,5,No
Tortellini,veg,"Pasta dough, cheese/meat filling",280,12,36,6,No
Cannelloni,veg,"Pasta tubes, ricotta, spinach",290,11,38,7,No
Orzo,veg,"Rice-shaped pasta, semolina",210,7,42,1,Yes
Rigatoni,veg,"Durum wheat semolina, water",220,8,43,1,Yes
Bucatini,veg,"Thick spaghetti-like pasta, semolina",230,8,45,1,Yes
Gnocchi,veg,"Potato, flour, egg",250,7,52,1,No
Conchiglie (Shell Pasta),veg,"Durum wheat semolina, water",220,7,44,1,Yes
Orecchiette,veg,"Durum wheat semolina, water",220,7,44,1,Yes
Pappardelle,veg,"Durum wheat semolina, egg",240,9,46,2,Yes
Whole Wheat Pasta,veg,"Whole wheat flour, water",200,8,40,1,Yes
Gluten-Free Pasta,veg,"Rice flour, corn flour",190,6,42,0,Yes
